,title,author,rating,voters,price,currency,description,publisher,page_count,generes,ISBN,language,published_date
29,Morning Star,Pierce Brown,4.8,886,62.1,SAR,"#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating next chapter in the Red Rising Saga: Morning Star.

ITW THRILLER AWARD FINALIST • “[Brown’s] achievement is in creating an uncomfortably familiar world of flaw, fear, and promise.”—Entertainment Weekly

Darrow would have lived in peace, but his enemies brought him war. The Gold overlords demanded his obedience, hanged his wife, and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold society, Darrow has battled to survive the cutthroat rivalries that breed Society’s mightiest warriors, climbed the ranks, and waited patiently to unleash the revolution that will tear the hierarchy apart from within.

 Finally, the time has come.

 But devotion to honor and hunger for vengeance run deep on both sides. Darrow and his comrades-in-arms face powerful enemies without scruple or mercy. Among them are some Darrow once considered friends. To win, Darrow will need to inspire those shackled in darkness to break their chains, unmake the world their cruel masters have built, and claim a destiny too long denied—and too glorious to surrender.

Praise for Morning Star

“There is no one writing today who does shameless, Michael Bay–style action set pieces the way Brown does. The battle scenes are kinetic, bloody, breathless, crazy. Everything is on fire all the time.”—NPR

 “Morning Star is this trilogy’s Return of the Jedi. . . . The impactful battles that make up most of Morning Star are damn near operatic. . . . It absolutely satisfies.”—Tordotcom

 “Excellent . . . Brown’s vivid, first-person prose puts the reader right at the forefront of impassioned speeches, broken families, and engaging battle scenes . . . as this interstellar civil war comes to a most satisfying conclusion.”—Publishers Weekly (starred review)

 “A page-turning epic filled with twists and turns . . . The conclusion to Brown’s saga is simply stellar.”—Booklist (starred review)

Don’t miss any of Pierce Brown’s Red Rising Saga:
RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE",Del Rey,544,"Fiction , Science Fiction , Action &amp, Adventure",9.78035E+12,English,"Feb 9, 2016"
30,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,4,98.42,SAR,"THE SUNDAY TIMES BESTSELLER'Coming from Glasgow, it's weird, I don't really tell jokes, like Irish jokes and all that. I tell wee stories. And some of them don't even have punchlines. But you'll get used to it as the night goes on, and on, and on, and on and on...'In December 2018, after fifty years of belly-laughs, energy and outrage, Billy Connolly announced his retirement from live stand-up comedy. It had been an extraordinary career.When he first started out in the late sixties, Billy played the banjo in the folk clubs of Scotland. Between songs, he would improvise a bit, telling anecdotes from the Clyde shipyard where he'd worked. In the process, he made all kinds of discoveries about what audiences found funny, from his own brilliant mimes to the power of speaking irreverently about politics or explicitly about sex. He began to understand the craft of great storytelling. Soon the songs became shorter and the monologues longer, and Billy quickly became recognised as one of the most exciting comedians of his generation.Billy's routines always felt spontaneous. He never wrote scripts, always creating his comedy freshly on stage in the presence of a live audience. A brilliant comic story might be subsequently discarded, adapted or embellished. A quick observation or short anecdote one night, could become a twenty-minute segment by the next night of a tour.Billy always brought a beautiful sense of the absurd to his shows as he riffed on his family, hecklers, swimming in the North Sea or naked bungee jumping. But his comedy can be laced with anger too. He hates pretentiousness and calls out hypocrisy wherever he sees it. His insights about the human condition have shocked many people, while his unique talent and startling appearance on stage gave him license to say anything he damn well pleased about sex, politics or religion. Billy got away with it because he has always had the popular touch. His comedy spans generations and different social tribes in a way that few others have ever managed.Tall Tales and Wee Stories brings together the very best of Billy's storytelling for the first time and includes his most famous routines including, The Last Supper, Jojoba Shampoo, Incontinence Pants and Shouting at Wildebeest. With an introduction and original illustrations by Billy throughout, it is an inspirational, energetic and riotously funny read, and a fitting celebration of our greatest ever comedian.",Hachette UK,336,none,9.78153E+12,English,"Oct 17, 2019"
31,After Anna,Alex Lake,4.1,"1,633",20.51,SAR,"No.1 EBOOK BESTSELLER. A SUNDAY TIMES TOP 10 PAPERBACK BESTSELLER. A USA TODAY PAPERBACK BESTSELLER.   The real nightmare starts when her daughter is returned...   A bone-chilling psychological thriller that will suit fans of Gone Girl, The Couple Next Door and The Girl on the Train.  A girl is missing. Five years old, taken from outside her school. She has vanished, traceless. The police are at a loss; her parents are beyond grief. Their daughter is lost forever, perhaps dead, perhaps enslaved. But the biggest mystery is yet to come: one week after she was abducted, their daughter is returned. She has no memory of where she has been. And this, for her mother, is just the beginning of the nightmare.",HarperCollins UK,416,"Fiction , Mystery &amp, Detective , General",9.78001E+12,English,"Jul 30, 2015"
32,How to Win Friends and Influence People,Dale Carnegie,4.4,"1,382",55.47,SAR,"The most famous confidence-boosting book ever published; with sales of over 16 million copies worldwide Millions of people around the world have improved their lives based on the teachings of Dale Carnegie. In How to Win Friends and Influence People, he offers practical advice and techniques, in his exuberant and conversational style, for how to get out of a mental rut and make life more rewarding.  His advice has stood the test of time and will teach you how to: 
 - make friends quickly and easily
 - increase your popularity
 - persuade people to follow your way of thinking
 - enable you to win new clients and customers
 - become a better speaker 
 - boost enthusiasm among your colleagues This classic book will turn your relationships around and improve your interactions with everyone in your life. Dale Carnegie, known as 'the arch-priest of the art of making friends', pioneered the development of personal business skills, self-confidence and motivational techniques. His books - most notably How to Win Friends and Influence People - have sold tens of millions worldwide and, even in today's changing climate, they remain as popular as ever.",Random House,304,"Business &amp, Economics , Motivational",9.78141E+12,English,"Sep 30, 2010"
33,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,SAR,"‘Sometimes we can’t see what’s right in front of us, Kat. Everyone has secrets, even the people we love, the people we live with…’
Kat remembers the days when her only daughter Amy wouldn't leave her side. Amy was the baby who cried when you walked out of the room, the toddler who was too shy to speak to strangers, the small child who clung to Kat's legs in the school playground.
But now Amy is grown up, and Amy is gone – to university in a town several hours away. Kat's house – which once felt too full, too noisy, too busy – is deathly quiet, and Kat awaits the daily phone call to tell her that her beloved daughter is thriving and happy. 
Until the day Amy doesn’t call, sending Kat into a panic. Her husband and friends say she’s being paranoid – surely Amy is just out, having fun? But Kat feels sure something is very wrong – she knows her daughter, and she would never just disappear. 
As the hours turn into days, her fears are confirmed: Amy is missing. But there are secrets about her daughter that Kat doesn't know about yet. And the truth about Amy's whereabouts may be closer to home than Kat could ever imagine...
A gripping and suspenseful psychological thriller with more twists and turns than a rollercoaster and an ending that will blow readers’ minds. Fans of The Wife Between Us, The Girl Before and Gone Girl will be gripped by this unputdownable story about a mother’s obsessive love for her child.
Readers are loving The Empty Nest:‘OMG… I couldn’t believe the ending and what truly happened to Kat’s daughter. There were so many twists and turns in this book but the ending blew my mind.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Wow I never saw that ending!... A huge rollercoaster of events that will keep you enthralled right to the end!... Great read.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘A full on, straight into it thriller, with a banging twist and a satisfying end! A quickfire ever changing story of who has done what and why… It had me foxed and I got it completely wrong… So well written, full of drama and just a perfect read. 10/10.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘What an amazing book. I couldn't put it down. Had my attention from start to finish… Just when I thought I had it figured out I was proven wrong.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘A compulsively readable mystery that kept me fully engrossed and turning pages long into the night. This is a twisty thriller that kept me guessing right up until the final page… Brilliantly executed… Thoroughly addictive.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘I was so gobsmacked… The Empty Nest is a story steeped in secrets and lies. The suspense and tension surrounding Amy’s disappearance builds up wonderfully and had me totally hooked, tearing through the pages to see just what had happened to her.’ By the Letter Book Reviews ⭐⭐⭐⭐⭐
‘An addictive, suspenseful thriller that kept me on the edge of my seat from start to finish… This story is filled with lies, betrayal, and shocking secrets. The author does a wonderful job building the tension and the ending was clever and satisfying. I highly recommend this twisty thriller.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘This book was fast paced. Hard to put down. It flowed well and it was very well written. It caught hold of me and had me hooked from the start. I was literally on the edge of my seat reading this book.’ Goodreads Reviewer ⭐⭐⭐⭐
‘Sue Watson is an amazing storyteller… She perfectly wove together a web of lies, paranoia, deceit, and friendship that created a rollercoaster of a ride from start to finish. This really is such a compulsive read, building the tension and a brilliant ending… A real unputdownable book.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘Keeps the reader guessing as to what happened.... Each time you think you know where the story is going, something changes… Very difficult to put down.’ NetGalley Reviewer ⭐⭐⭐⭐⭐
‘A brilliant addictive psychological thriller, full of twists and turns… It kept me on the edge of my seat throughout… Compulsive reading.’ NetGalley Reviewer ⭐⭐⭐⭐⭐",Bookouture,357,none,9.78184E+12,English,"Nov 1, 2019"
34,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,206,39.34,SAR,"Private investigator Kinsey Millhone finds shocking connections between two seemingly unrelated deaths in this #1 New York Times bestselling mystery in the Alphabet series.

The first victim is a local PI of suspect reputation, gunned down near the beach at Santa Teresa. The second is a John Doe found on the beach six weeks later with a slip of paper with private detective Kinsey Millhone’s name and number in his pocket.

 Two seemingly unrelated deaths: one man murdered, the other apparently dead of natural causes.

But as Kinsey digs deeper into the mystery of the John Doe, some very strange links begin to emerge. Not just between the two victims, but also to Kinsey’s past. And before long Kinsey, through no fault of her own, is thoroughly compromised...",Penguin,448,"Fiction , Mystery &amp, Detective , Women Sleuths",9.7811E+12,English,"Sep 10, 2013"
35,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,SAR,"‘Sometimes we can’t see what’s right in front of us, Kat. Everyone has secrets, even the people we love, the people we live with…’
Kat remembers the days when her only daughter Amy wouldn't leave her side. Amy was the baby who cried when you walked out of the room, the toddler who was too shy to speak to strangers, the small child who clung to Kat's legs in the school playground.
But now Amy is grown up, and Amy is gone – to university in a town several hours away. Kat's house – which once felt too full, too noisy, too busy – is deathly quiet, and Kat awaits the daily phone call to tell her that her beloved daughter is thriving and happy. 
Until the day Amy doesn’t call, sending Kat into a panic. Her husband and friends say she’s being paranoid – surely Amy is just out, having fun? But Kat feels sure something is very wrong – she knows her daughter, and she would never just disappear. 
As the hours turn into days, her fears are confirmed: Amy is missing. But there are secrets about her daughter that Kat doesn't know about yet. And the truth about Amy's whereabouts may be closer to home than Kat could ever imagine...
A gripping and suspenseful psychological thriller with more twists and turns than a rollercoaster and an ending that will blow readers’ minds. Fans of The Wife Between Us, The Girl Before and Gone Girl will be gripped by this unputdownable story about a mother’s obsessive love for her child.
Readers are loving The Empty Nest:‘OMG… I couldn’t believe the ending and what truly happened to Kat’s daughter. There were so many twists and turns in this book but the ending blew my mind.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘Wow I never saw that ending!... A huge rollercoaster of events that will keep you enthralled right to the end!... Great read.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘A full on, straight into it thriller, with a banging twist and a satisfying end! A quickfire ever changing story of who has done what and why… It had me foxed and I got it completely wrong… So well written, full of drama and just a perfect read. 10/10.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘What an amazing book. I couldn't put it down. Had my attention from start to finish… Just when I thought I had it figured out I was proven wrong.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘A compulsively readable mystery that kept me fully engrossed and turning pages long into the night. This is a twisty thriller that kept me guessing right up until the final page… Brilliantly executed… Thoroughly addictive.’ Goodreads Reviewer ⭐⭐⭐⭐⭐ ‘I was so gobsmacked… The Empty Nest is a story steeped in secrets and lies. The suspense and tension surrounding Amy’s disappearance builds up wonderfully and had me totally hooked, tearing through the pages to see just what had happened to her.’ By the Letter Book Reviews ⭐⭐⭐⭐⭐
‘An addictive, suspenseful thriller that kept me on the edge of my seat from start to finish… This story is filled with lies, betrayal, and shocking secrets. The author does a wonderful job building the tension and the ending was clever and satisfying. I highly recommend this twisty thriller.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘This book was fast paced. Hard to put down. It flowed well and it was very well written. It caught hold of me and had me hooked from the start. I was literally on the edge of my seat reading this book.’ Goodreads Reviewer ⭐⭐⭐⭐
‘Sue Watson is an amazing storyteller… She perfectly wove together a web of lies, paranoia, deceit, and friendship that created a rollercoaster of a ride from start to finish. This really is such a compulsive read, building the tension and a brilliant ending… A real unputdownable book.’ Goodreads Reviewer ⭐⭐⭐⭐⭐
‘Keeps the reader guessing as to what happened.... Each time you think you know where the story is going, something changes… Very difficult to put down.’ NetGalley Reviewer ⭐⭐⭐⭐⭐
‘A brilliant addictive psychological thriller, full of twists and turns… It kept me on the edge of my seat throughout… Compulsive reading.’ NetGalley Reviewer ⭐⭐⭐⭐⭐",Bookouture,357,"Fiction , Noir",9.78184E+12,English,"Nov 1, 2019"
36,Salvaged,Madeleine Roux,4,1,47.78,SAR,"A WOMAN ON THE RUN. A CAPTAIN ADRIFT IN SPACE. ONE OF THEM IS INFECTED WITH AN ALIEN PARASITE. 

In this dark science fiction thriller, a young woman must confront her past so the human race will have a future.

Rosalyn Devar is on the run from her famous family, the bioengineering job she's come to hate, and her messed-up life. She's run all the way to outer space, where she's taken a position as a ""space janitor,"" cleaning up ill-fated research expeditions. But no matter how far she goes, Rosalyn can't escape herself. After too many mistakes on the job, she's given one last chance: take care of salvaging the Brigantine, a research vessel that has gone dark, with all crew aboard thought dead.

But the Brigantine's crew are very much alive--if not entirely human. Now Rosalyn is trapped on board, alone with a crew infected by a mysterious parasitic alien. The captain, Edison Aries, seems to still maintain some control over himself and the crew, but he won't be able to keep fighting much longer. Rosalyn and Edison must find a way to stop the parasite's onslaught...or it may take over the entire human race.",Penguin,368,"Fiction , Science Fiction , Action &amp, Adventure",9.78045E+12,English,"Oct 15, 2019"
37,The Art of Thinking Clearly,Rolf Dobelli,4.3,72,7.84,SAR,"Have you ever . . .  Invested time in something that, in hindsight, just wasn't worth it?  Paid too much in an eBay auction?  Continued to do something you knew was bad for you?  Sold stocks too late, or too early?  Taken credit for success, but blamed failure on external circumstances?  Backed the wrong horse?These are examples of what the author calls cognitive biases, simple errors all of us make in day-to-day thinking. But by knowing what they are and how to identify them, we can avoid them and make better choices: whether in dealing with personal problems or business negotiations, trying to save money or earn profits, or merely working out what we really want in life—and strategizing the best way to get it.Already an international bestseller, The Art of Thinking Clearly distills cutting-edge research from behavioral economics, psychology, and neuroscience into a clever, practical guide for anyone who's ever wanted to be wiser and make better decisions. A novelist, thinker, and entrepreneur, Rolf Dobelli deftly shows that in order to lead happier, more prosperous lives, we don't need extra cunning, new ideas, shiny gadgets, or more frantic hyperactivity—all we need is less irrationality.Simple, clear, and always surprising, this indispensable book will change the way you think and transform your decision making—at work, at home, every day. From why you shouldn't accept a free drink to why you should walk out of a movie you don't like, from why it's so hard to predict the future to why you shouldn't watch the news, The Art of Thinking Clearly helps solve the puzzle of human reasoning.",Harper Collins,384,none,9.78006E+12,English,"May 6, 2014"
38,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,SAR,"This carefully crafted ebook: “The Complete Works of William Shakespeare” is formatted for your eReader with a functional and detailed table of contents.   William Shakespeare is recognized as one of the greatest writers of all time, known for works like ""Hamlet,"" ""Much Ado About Nothing,"" ""Romeo and Juliet,"" ""Othello,"" ""The Tempest,"" and many other works. With the 154 poems and 37 plays of Shakespeare's literary career, his body of works are among the most quoted in literature. Shakespeare created comedies, histories, tragedies, and poetry. Despite the authorship controversies that have surrounded his works, the name of Shakespeare continues to be revered by scholars and writers from around the world.      William Shakespeare (1564 – 1616) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including some collaborations, consist of about 38 plays, 154 sonnets, two long narrative poems, and a few other verses, the authorship of some of which is uncertain.",e-artnow,1424,none,9.78803E+12,English,"Feb 27, 2014"
39,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,4.6,861,35.4,SAR,"NEW YORK TIMES BESTSELLER

With The Warded Man and The Desert Spear, Peter V. Brett surged to the front rank of contemporary fantasy, standing alongside giants in the field such as George R. R. Martin, Robert Jordan, and Terry Brooks. The Daylight War, the eagerly anticipated third volume in Brett’s internationally bestselling Demon Cycle, continues the epic tale of humanity’s last stand against an army of demons that rise each night to prey on mankind.

 On the night of the new moon, the demons rise in force, seeking the deaths of two men, both of whom have the potential to become the fabled Deliverer, the man prophesied to reunite the scattered remnants of humanity in a final push to destroy the demon corelings once and for all.

 Arlen Bales was once an ordinary man, but now he has become something more—the Warded Man, tattooed with eldritch wards so powerful they make him a match for any demon. Arlen denies he is the Deliverer at every turn, but the more he tries to be one with the common folk, the more fervently they believe. Many would follow him, but Arlen’s path threatens to lead to a dark place he alone can travel to, and from which there may be no returning.

 The only one with hope of keeping Arlen in the world of men, or joining him in his descent into the world of demons, is Renna Tanner, a fierce young woman in danger of losing herself to the power of demon magic.

 Ahmann Jardir has forged the warlike desert tribes of Krasia into a demon-killing army and proclaimed himself Shar’Dama Ka, the Deliverer. He carries ancient weapons—a spear and a crown—that give credence to his claim, and already vast swaths of the green lands bow to his control.

 But Jardir did not come to power on his own. His rise was engineered by his First Wife, Inevera, a cunning and powerful priestess whose formidable demon bone magic gives her the ability to glimpse the future. Inevera’s motives and past are shrouded in mystery, and even Jardir does not entirely trust her.

 Once Arlen and Jardir were as close as brothers. Now they are the bitterest of rivals. As humanity’s enemies rise, the only two men capable of defeating them are divided against each other by the most deadly demons of all—those lurking in the human heart.

Look for Peter V. Brett’s complete Demon Cycle:
 THE WARDED MAN | THE DESERT SPEAR | THE DAYLIGHT WAR | THE SKULL THRONE | THE CORE

Praise for The Daylight War

“[Peter V. Brett] confirms his place among epic fantasy’s pantheon of greats amid the likes of George R. R. Martin, Steven Erikson, and Robert Jordan.”—Fantasy Book Critic

“Brett’s prose and flow remain virtually flawless, providing for a smooth read during which you don’t feel guilty for skipping two meals so you can lie on the couch and keep reading.”—Fixed on Fantasy

“The best book yet in The Demon Cycle. If you are looking for a great series, look no further.”—Roqoo Depot

“After the phenomenal success of both The Warded Man and The Desert Spear, I was tentative about The Daylight War; surely it couldn’t get much better? Well, I was wrong. . . . This will be a strong contender for one of the best books of the year, even this early on.”—Jet Black Ink

“Brett has his hooks in me and I want more of The Demon Cycle.”—Best Fantasy Books",Del Rey,656,"Fiction , Fantasy , Epic",9.78035E+12,English,"Feb 12, 2013"
40,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,42,23.85,SAR,"This is no way to live! Like so many others, you can now enjoy your own personal success story by mastering the principles of total self-confidence. Here Dr. Robert Anthony reveals the secrets he has taught in seminars and workshops that have changed thousands of lives. Executive businessmen, star athletes, and celebrities know how total self-confidence can make you soar. And now you can, too. YOU WILL LEARN:How to tap into your creative imagination—and use it to get what you wantHow to clear your mind of fear, worry, guilt, and reverse failureThe best ways to communicate and the art of small talkThe simplest ways to get perspective and set goals The joys and benefits of being differentLet Dr. Anthony guide you on this step-by-step, day-by-day path toward total self-confidence—in your career, family, love life, finances, and mental and physical health—and achieve a brand-new, totally positive and confident outlook.",Penguin,240,none,9.7811E+12,English,"Nov 15, 1986"
41,Ready Player One,Ernest Cline,4.6,"17,719",39.34,SAR,"Nominated as one of America’s best-loved novels by PBS’s The Great American Read

The worldwide bestseller—now a major motion picture directed by Steven Spielberg.

In the year 2045, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines—puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. But when Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.",Broadway Books,384,none,9.78031E+12,English,"Aug 16, 2011"
42,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,522,18.72,SAR,"“An action packed fantasy sure to please fans of Morgan Rice’s previous novels, along with fans of works such as The Inheritance Cycle by Christopher Paolini…. Fans of Young Adult Fiction will devour this latest work by Rice and beg for more.”
--The Wanderer, A Literary Journal (regarding Rise of the Dragons)  The #1 Bestselling series, with over 400 five star reviews!  A FORGE OF VALOR is book #4 in Morgan Rice’s bestselling epic fantasy series KINGS AND SORCERERS (which begins with RISE OF THE DRAGONS, a free download)!  In A FORGE OF VALOR, Kyra slowly returns from the verge of death, healed by Kyle’s love and mysterious power. As he sacrifices for her, she regains her strength—yet not without a price. She presses Alva for the secret of her lineage, and he finally reveals all about her mother. Given a chance to quest to the source of her power, Kyra must make a crucial choice: whether to complete her training or journey to help her father, who wallows in the capital dungeon, his execution pending.  Aidan, Motley at his side, also strives to rescue his father, trapped in the perilous capital, while in the far corner of the kingdom, Merk, amazed by what he discovers in the Tower of Ur, braces himself against a massive troll invasion. His Tower surrounded, he must fight alongside his fellow Watchers, to defend his nation’s most precious relic.  Dierdre finds herself facing a full-fledged Pandesian invasion in her embattled city of Ur. As her precious city is destroyed all around her, she has to decide whether to escape or to make a final, heroic stand. Alec, meanwhile, finds himself at sea with his cryptic newfound friend, sailing to a land he’s never been, one even more mysterious than his companion. It is here that, finally, he learns of his destiny—and of the last hope for Escalon.  With its strong atmosphere and complex characters, A FORGE OF VALOR is a sweeping saga of knights and warriors, of kings and lords, of honor and valor, of magic, destiny, monsters and dragons. It is a story of love and broken hearts, of deception, ambition and betrayal. It is fantasy at its finest, inviting us into a world that will live with us forever, one that will appeal to all ages and genders.  Book #5 in KINGS AND SORCERERS will be published soon.   “If you thought that there was no reason left for living after the end of the Sorcerer’s Ring series, you were wrong. Morgan Rice has come up with what promises to be another brilliant series, immersing us in a fantasy of trolls and dragons, of valor, honor, courage, magic and faith in your destiny. Morgan has managed again to produce a strong set of characters that make us cheer for them on every page.…Recommended for the permanent library of all readers that love a well-written fantasy.”
--Books and Movie Reviews, Roberto Mattos (regarding Rise of the Dragons)",Morgan Rice,250,"Fiction , Fantasy , Epic",9.78163E+12,English,"Sep 7, 2015"
43,How To Win Friends and Influence People,Dale Carnegie,4.3,"6,615",51.15,SAR,"You can go after the job you want—and get it!
 You can take the job you have—and improve it!
 You can take any situation—and make it work for you!

Dale Carnegie’s rock-solid, time-tested advice has carried countless people up the ladder of success in their business and personal lives. One of the most groundbreaking and timeless bestsellers of all time, How to Win Friends & Influence People will teach you:
 
 -Six ways to make people like you
 -Twelve ways to win people to your way of thinking
 -Nine ways to change people without arousing resentment
 
 And much more! Achieve your maximum potential—a must-read for the twenty-first century with more than 15 million copies sold!",Simon and Schuster,320,"Business &amp, Economics , Leadership",9.78145E+12,English,"Aug 24, 2010"
44,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,SAR,"The last few decades have seen an explosion in the production of critical theories, with deconstructionists, poststructuralists, postmodernists, second-wave feminists, new historicists, cultural materialists, postcolonialists, black critics and queer theorists, among a host of others, all vying for our attention. The world around us can look very different on the critical theory applied to it. This vast range of interpretations can leave one feeling confused and frustrated. This book provides a route through the tangled jungle of competing theories.",Icon Books,176,"Literary Criticism , General",9.78184E+12,English,"Jan 1, 2004"
45,"Financial Statements, Revised and Expanded Edition: A Step-by-Step Guide to Understanding and Creating Financial Reports",Thomas Ittelson,4,1,78.73,SAR,"Now the best-selling book of its kind has gotten even better.This revised and expanded second edition of Ittelson’s master work will give you that firm grasp of “the numbers” necessary for business success. With more than 100,000 copies in print, Financial Statements is a perfect introduction to financial accounting for non-financial managers, stock-market investors, undergraduate business and MBA students, lawyers, lenders, entrepreneurs, and more.Most introductory finance and accounting books fail either because they are written “by accountants for accountants” or the authors “dumb down” the concepts until they are virtually useless. Financial Statements deftly shows that all this accounting and financial-reporting stuff is not rocket science and that you can understand it! Ittelson empowers non-financial managers by clearly and simply demonstrating how the balance sheet, income statement and cash flow statement work together to offer a “snapshot” of any company’s financial health. Every term is defined in simple, understandable language. Every concept is explained with a basic, straightforward transaction example. And with the book’s uniquely visual approach, you’ll be able to see exactly how each transaction affects the three key financial statement of the enterprise.Two new major sections with nine new chapters were added to this revised second edition of Financial Statements, simply the clearest and most comprehensive introduction to financial reporting available.",Red Wheel/Weiser,288,"Business &amp, Economics , Accounting , Financial",9.7816E+12,English,"Aug 1, 2009"
46,Death of a Bachelorette,Laura Levine,4,7,29.9,SAR,"Freelance writer Jaine Austen thought working for a knock-off reality show in the tropics would be paradise. But when she and her kitty Prozac find themselves trapped between a dimwitted leading man, catty contestants, and a cold-blooded murderer, the splashy gig becomes one deadly nightmare . . .
 
Jaine’s life has been a royal pain since she started penning dialogue for Some Day My Prince Will Come—a cheesy dating show that features bachelorettes competing for the heart of Spencer Dalworth VII, a very distant heir to the British throne. But when one of the finalists dies in a freak accident, it’s clear someone wanted the woman out of the race for good—and the police won’t allow a soul off the island until they seize the culprit. Terrified of existing another day without air conditioning and eager to return home, Jaine is throwing herself into the investigation. And she better pounce on clues quickly—or there won’t be any survivors left . . .",Kensington Books,304,none,9.7815E+12,English,"Jul 1, 2017"
47,Batman: The Man Who Laughs,Ed Brubaker,4.5,64,59.03,SAR,"Witness Batman's first encounter with The Joker in this volume collecting the graphic novel BATMAN: THE MAN WHO LAUGHS, by Ed Brubaker and Doug Mahnke! This collection also includes DETECTIVE COMICS #784-786, a murder mystery tale guest-starring Green Lantern Alan Scott.",DC,146,none,9.7814E+12,English,"Apr 7, 2015"
48,Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,Editors of Martha Stewart Living,,,66.87,SAR,"Showstopper cookies for a new generation: from Martha Stewart, an authoritative and creative collection to take your cookies to the next level in flavor, technique, and decorative appeal

The editors of Martha Stewart Living present a new, fun source for anyone looking to make their go-to cookies even better and bolder. These recipes make ordinary cookies absolutely extraordinary--all the familiar favorites you love, but taken up a notch in variety, flavor, and creativity. Classic recipes discover new life with unexpected twists such as Brown-Butter Crinkle Cookies and Carrot Cake Thumbprint Cookies. Go over-the-top in super-sized fashion with Chocolate-Chocolate Chip Skillet Cookies; get inspired by cultures around the globe with Brazilian Wedding Cookies and Stroopwafels; and celebrate with beautifully decorated holiday treats, such as Easter Egg Puzzle Cookies and Snowball Truffles. Whether for a special celebration or a sweet anytime-treat, you'll be sure to find inspiration to trade in your everyday cookies for versions far more special—and especially delicious.",Clarkson Potter,256,"Cooking , Methods , Baking",9.78152E+12,English,"Oct 15, 2019"
